number,values_0,values_1,values_2,params_10units,params_11units,params_12units,params_1units,params_2units,params_3units,params_4units,params_5units,params_6units,params_7units,params_8units,params_9units,params_batch_size,params_depth_multiple,params_epochs,params_img_size,params_last_dim,params_m1,params_m1/activation,params_m1/kernel_size,params_m1/repeat,params_m1/stride,params_m1/v2_c,params_m1/v2_t,params_m1/v3_c,params_m1/v3_hs,params_m1/v3_se,params_m1/v3_t,params_m10,params_m10/activation,params_m10/kernel_size,params_m10/repeat,params_m10/stride,params_m10/v2_c,params_m10/v2_t,params_m10/v3_c,params_m10/v3_hs,params_m10/v3_se,params_m10/v3_t,params_m11,params_m11/kernel_size,params_m11/repeat,params_m11/stride,params_m11/v2_c,params_m11/v2_t,params_m11/v3_c,params_m11/v3_hs,params_m11/v3_se,params_m11/v3_t,params_m12,params_m12/activation,params_m12/repeat,params_m12/stride,params_m2,params_m2/activation,params_m2/kernel_size,params_m2/repeat,params_m2/stride,params_m2/v3_c,params_m2/v3_hs,params_m2/v3_se,params_m2/v3_t,params_m3,params_m3/activation,params_m3/kernel_size,params_m3/repeat,params_m3/stride,params_m3/v2_c,params_m3/v2_t,params_m3/v3_c,params_m3/v3_hs,params_m3/v3_se,params_m3/v3_t,params_m4,params_m4/activation,params_m4/kernel_size,params_m4/repeat,params_m4/stride,params_m4/v2_c,params_m4/v2_t,params_m4/v3_c,params_m4/v3_hs,params_m4/v3_se,params_m4/v3_t,params_m5,params_m5/activation,params_m5/kernel_size,params_m5/repeat,params_m5/stride,params_m5/v2_c,params_m5/v2_t,params_m5/v3_c,params_m5/v3_hs,params_m5/v3_se,params_m5/v3_t,params_m6,params_m6/activation,params_m6/kernel_size,params_m6/repeat,params_m6/stride,params_m6/v2_c,params_m6/v2_t,params_m6/v3_c,params_m6/v3_hs,params_m6/v3_se,params_m6/v3_t,params_m7,params_m7/activation,params_m7/kernel_size,params_m7/repeat,params_m7/stride,params_m7/v2_c,params_m7/v2_t,params_m7/v3_c,params_m7/v3_hs,params_m7/v3_se,params_m7/v3_t,params_m8,params_m8/activation,params_m8/kernel_size,params_m8/repeat,params_m8/stride,params_m8/v2_c,params_m8/v2_t,params_m8/v3_c,params_m8/v3_hs,params_m8/v3_se,params_m8/v3_t,params_m9,params_m9/activation,params_m9/kernel_size,params_m9/repeat,params_m9/stride,params_m9/v2_c,params_m9/v2_t,params_m9/v3_c,params_m9/v3_hs,params_m9/v3_se,params_m9/v3_t,params_n_layers,params_n_select,params_width_multiple,state
0,0.3249592249477514,1619316.0,4.748970635732015,,,,62,37,125,121,49,154,129,99,43,64,0.5,20,96,896,DWConv,Hardswish,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,InvertedResidualv3,,3.0,3,2,56.0,0.0,1.0,4.9,InvertedResidualv3,,3.0,3,1,,,128.0,0.0,1.0,5.0,InvertedResidualv2,,,4,2,32.0,4.0,,,,,Conv,Hardswish,,5,1,,,,,,,Conv,ReLU,,4,2,,,,,,,DWConv,Hardswish,,4,2,,,,,,,InvertedResidualv3,,3.0,5,1,,,72.0,0.0,1.0,5.0,Conv,Hardswish,,3,1,,,,,,,9,2,1.0,COMPLETE
1,0.27991222449516084,243108.0,3.2658773263295493,,,,53,50,101,123,106,93,50,70,65,32,0.25,20,96,640,InvertedResidualv2,,,4,1,48.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,InvertedResidualv3,,5.0,2,2,56.0,0.0,1.0,2.8,Conv,Hardswish,,4,1,,,,,,,InvertedResidualv2,,,3,2,112.0,3.0,,,,,Conv,ReLU,,1,1,,,,,,,InvertedResidualv2,,,5,1,32.0,3.0,,,,,InvertedResidualv3,,3.0,1,2,,,144.0,1.0,1.0,2.3,DWConv,Hardswish,,2,2,,,,,,,InvertedResidualv2,,,3,2,128.0,1.0,,,,,9,0,0.75,COMPLETE
2,0.20742368116855822,372284.0,5.731940269470215,101.0,152.0,,47,59,35,101,134,94,60,38,159,64,0.5,20,168,128,InvertedResidualv2,,,2,1,48.0,2.0,,,,,InvertedResidualv3,,5.0,3.0,2.0,,,48.0,1.0,0.0,4.9,InvertedResidualv2,,2.0,2.0,144.0,4.0,,,,,,,,,DWConv,Hardswish,,3,2,,,,,Conv,ReLU,,5,2,,,,,,,DWConv,Hardswish,,4,2,,,,,,,InvertedResidualv2,,,1,2,48.0,2.0,,,,,InvertedResidualv3,,5.0,3,2,,,88.0,1.0,0.0,4.800000000000001,InvertedResidualv3,,5.0,4,2,,,32.0,0.0,0.0,2.9000000000000004,DWConv,Hardswish,,3,1,,,,,,,InvertedResidualv3,,5.0,1,1,,,40.0,1.0,0.0,3.8000000000000003,11,4,1.0,COMPLETE
3,0.235415379422404,224364.0,5.527146752675375,,,,34,58,51,32,54,97,123,133,121,32,0.75,20,224,896,DWConv,ReLU,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,InvertedResidualv3,,5.0,2,1,56.0,0.0,1.0,5.2,Conv,Hardswish,,3,1,,,,,,,Conv,Hardswish,,3,2,,,,,,,Conv,Hardswish,,5,2,,,,,,,InvertedResidualv2,,,4,1,32.0,2.0,,,,,InvertedResidualv2,,,1,2,112.0,4.0,,,,,Conv,ReLU,,2,2,,,,,,,InvertedResidualv2,,,4,1,48.0,4.0,,,,,9,2,0.5,COMPLETE
4,0.12249441984362945,180124.0,3.4211839993794757,121.0,138.0,85.0,48,53,43,114,136,143,77,92,45,32,0.25,20,224,640,Conv,Hardswish,,2,1,,,,,,,InvertedResidualv3,,5.0,1.0,2.0,,,144.0,0.0,1.0,4.4,InvertedResidualv2,,5.0,1.0,96.0,2.0,,,,,Conv,ReLU,1.0,2.0,Conv,ReLU,,2,1,,,,,InvertedResidualv3,,3.0,4,1,,,104.0,0.0,0.0,3.0,DWConv,ReLU,,2,1,,,,,,,DWConv,ReLU,,3,2,,,,,,,Conv,ReLU,,1,1,,,,,,,Conv,Hardswish,,5,1,,,,,,,InvertedResidualv3,,5.0,2,1,,,64.0,0.0,1.0,2.0,Conv,ReLU,,1,2,,,,,,,12,6,0.5,COMPLETE
5,0.12789552877017182,857684.0,6.175400606791178,143.0,96.0,36.0,56,43,71,100,38,135,114,39,41,32,0.25,20,96,256,InvertedResidualv3,,3.0,3,2,,,40.0,0.0,1.0,5.1000000000000005,InvertedResidualv2,,,5.0,1.0,64.0,1.0,,,,,InvertedResidualv3,5.0,4.0,1.0,,,120.0,0.0,1.0,1.1,DWConv,Hardswish,5.0,1.0,InvertedResidualv3,,5.0,2,1,56.0,0.0,1.0,2.4000000000000004,InvertedResidualv3,,3.0,1,2,,,32.0,1.0,1.0,6.0,Conv,Hardswish,,4,2,,,,,,,InvertedResidualv3,,3.0,2,1,,,136.0,1.0,0.0,3.8000000000000003,InvertedResidualv3,,5.0,2,2,,,72.0,1.0,1.0,5.800000000000001,InvertedResidualv3,,5.0,2,1,,,104.0,0.0,1.0,2.5,DWConv,Hardswish,,1,2,,,,,,,Conv,ReLU,,4,1,,,,,,,12,6,1.0,COMPLETE
6,0.15576504337510377,913348.0,4.664317830403646,,,,34,54,85,88,91,79,68,156,63,48,1.0,20,168,768,Conv,ReLU,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,InvertedResidualv3,,5.0,1,1,64.0,1.0,1.0,4.5,InvertedResidualv3,,3.0,1,1,,,120.0,0.0,0.0,1.9,InvertedResidualv3,,5.0,1,1,,,88.0,0.0,1.0,1.9,Conv,ReLU,,5,1,,,,,,,Conv,ReLU,,1,1,,,,,,,Conv,ReLU,,5,2,,,,,,,Conv,ReLU,,3,2,,,,,,,InvertedResidualv2,,,1,1,80.0,4.0,,,,,9,6,0.75,COMPLETE
7,0.18652779840530634,1047821.0,10.171805826822917,156.0,103.0,,44,32,87,65,50,87,88,37,128,64,1.0,20,168,512,InvertedResidualv2,,,3,1,64.0,1.0,,,,,Conv,ReLU,,2.0,1.0,,,,,,,InvertedResidualv3,5.0,1.0,1.0,,,160.0,0.0,0.0,1.7000000000000002,,,,,InvertedResidualv3,,5.0,5,2,48.0,0.0,1.0,1.9,InvertedResidualv2,,,4,2,112.0,1.0,,,,,InvertedResidualv2,,,1,2,80.0,4.0,,,,,DWConv,Hardswish,,2,1,,,,,,,InvertedResidualv3,,3.0,3,1,,,104.0,1.0,0.0,4.0,InvertedResidualv2,,,2,2,160.0,3.0,,,,,InvertedResidualv2,,,3,1,128.0,3.0,,,,,InvertedResidualv2,,,2,2,80.0,4.0,,,,,11,4,0.75,COMPLETE
8,0.07927453561503582,78356.0,4.662476762135824,60.0,68.0,,41,64,39,111,107,65,131,106,127,48,0.75,20,96,512,Conv,ReLU,,2,1,,,,,,,InvertedResidualv2,,,1.0,2.0,96.0,3.0,,,,,InvertedResidualv2,,3.0,2.0,144.0,4.0,,,,,,,,,Conv,ReLU,,1,2,,,,,InvertedResidualv3,,3.0,1,2,,,40.0,0.0,1.0,5.3,InvertedResidualv3,,5.0,1,1,,,120.0,1.0,0.0,4.2,InvertedResidualv2,,,4,1,96.0,1.0,,,,,InvertedResidualv2,,,1,1,96.0,1.0,,,,,Conv,ReLU,,3,1,,,,,,,DWConv,Hardswish,,3,2,,,,,,,InvertedResidualv2,,,1,1,112.0,2.0,,,,,11,4,0.25,COMPLETE
9,0.3861936148851958,39060.0,3.175701316197713,123.0,,,57,38,79,60,77,71,49,36,122,64,0.25,20,96,896,InvertedResidualv3,,5.0,4,1,,,32.0,1.0,0.0,5.6000000000000005,Conv,ReLU,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,Conv,Hardswish,,2,1,,,,,DWConv,ReLU,,3,1,,,,,,,InvertedResidualv2,,,4,2,32.0,4.0,,,,,InvertedResidualv2,,,4,2,112.0,2.0,,,,,InvertedResidualv2,,,4,2,32.0,4.0,,,,,InvertedResidualv3,,5.0,4,2,,,120.0,0.0,1.0,1.6,Conv,ReLU,,5,1,,,,,,,DWConv,Hardswish,,4,2,,,,,,,10,0,0.25,COMPLETE
